W3+N5	ḥb+rꜥ
X1+D21	t+r
X1+D41	t+rmn,t+mḥ
X1+D54	t+ỉw
X1+G1	t+ꜣ
X1+H8	t+swḥt,t+sꜣ
X1+I9	t+f
X1+N23	t+tꜣ
X1+N25	t+ḫꜣst
X1+N35	t+n
X1+N35+Z2	t+n+w
X1+O1	t+pr
X1+O39	t+ỉnr
X1+O49	t+nỉwt
X1+U1	t+mꜣ
X1+U15	t+tm
X1+U30	t+tꜣ
X1+X1	t+t
X1+X1+Y1	t+t+Y1
X1+X2+X4+Z2	t+t+t+w
X1+Y1	t+Y1
X1+Z1	t
X1+Z2	t+w
X1+Z4	t+y
X1+Z7	t+w
X1+Z7+D21	t+w+r
X1+Z9	t+swꜣ
X1-Z5	t
X1:Z5	t
X4+Z2	t+w
Y1+A1	Y1+ỉ
Y1+I9	Y1+f
Y1+X1+Z1+V12+Z1	mḏꜣt,Y1+t+fḫ
Y1+X1+Z7	Y1+t+w
Y1+Z2	Y1+w
Y5+N35	mn+n
Z1+A1	ỉ
Z1+N35	n
Z1+V30	nb
Z2+A1	w+ỉ
Z2+N35	w+n
Z4+D21	y+r
Z4+D41	y+mḥ,y+rmn
Z4+D54	y+ỉw
Z4+Y1	y+Y1
Z5+A1	ỉ
Z5+Y1	Y1
Z7+D58	w+b
Z7+N35+Z2	w+n+w
Z7+W22	w+ḥnw
Z7+X1	w+t,t+w
Z7+X1+Y1	w+t+Y1,t+w+Y1
Z7+Y1	w+Y1
Z7+Y1+Z2	w+Y1+w
Z7+Z3A	w+w
Z7+Z4	w+y
Z9+D40	swꜣ+nḫt
Z9+G37	swꜣ+nḏs
Z9+N35+Y1	swꜣ+n+Y1
Z9+Y1	swꜣ+Y1
Aa1+D21	ḫ+r
Aa1+N35	ḫ+n
Aa1+X1	ḫ+t
Aa1+X1+Z5	ḫ+t
Aa1+Y1	ḫ+Y1
Aa1+Z4	ḫ+y
Aa1+Z9	ḫ+swꜣ
Aa21\R90	wḏꜥ
	
